Presentation ID,Author ID,Name
2,1,Haibin Lin
2,2,Xingjian Shi
2,3,Leonard Lausen
2,4,Aston Zhang
2,5,He He
2,6,Sheng Zha
2,7,Alexander Smola
3,8,Monojit Choudhury
3,9,Kalika Bali
6,1,Haibin Lin
6,2,Xingjian Shi
6,3,Leonard Lausen
6,4,Aston Zhang
6,5,He He
6,6,Sheng Zha
6,7,Alexander Smola
7,10,Tsung-Hsien Wen
7,11,Pei-Hao Su
7,12,Paweł Budzianowski
7,13,Iñigo Casanueva
7,14,Ivan Vulić
18,15,Kai-Wei Chang
18,16,Margaret Mitchell
18,17,Vicente Ordonez
19,18,Lili Mou
19,19,Hao Zhou
19,20,Lei Li
22,21,Shikhar Vashishth
22,22,Naganand Yadati
22,23,Partha Talukdar
23,24,Goran Glavaś
23,25,Edoardo Maria Ponti
24,14,Ivan Vulić
