Session ID,Session Title,Date,Time Start,Time End,Room/Location,Schedule Track,Description
1,Morning Tutorials,10/31/18,9:00 AM,12:30 PM,,Main Schedule,
2,"[T1] Joint Models for NLP",10/31/18,09:00,12:30,Gold Hall,Tutorials,"Joint models have received much research attention in NLP, allowing relevant tasks to share common information while avoiding error propagation in multi-stage pepelines. Several main approaches have been taken by statistical joint modeling, while neual models allow parameter sharing and adversarial training. This tutorial reviews main approaches to joint modeling for both statistical and neural methods."
3,"[T2] Graph Formalisms for Meaning Representations",10/31/18,09:00,12:30,Hall 100,Tutorials,"In this tutorial we will focus on Hyperedge Replacement Languages (HRL; Drewes et al. 1997), a context-free graph rewriting system. HRL are one of the most popular graph formalisms to be studied in NLP (Chiang et al., 2013; Peng et al., 2015; Bauer and Rambow, 2016). We will discuss HRL by formally defining them, studying several examples, discussing their properties, and providing exercises for the tutorial. While HRL have been used in NLP in the past, there is some speculation that they are more expressive than is necessary for graphs representing natural language (Drewes, 2017). Part of our own research has been exploring what restrictions of HRL could yield languages that are more useful for NLP and also those that have desirable properties for NLP models, such as being closed under intersection.

With that in mind, we also plan to discuss Regular Graph Languages (RGL; Courcelle 1991), a subfamily of HRL which are closed under intersection. The definition of RGL is relatively simple after being introduced to HRL. We do not plan on discussing any proofs of why RGL are also a subfamily of MSOL, as described in Gilroy et al. (2017b). We will briefly mention the other formalisms shown in Figure 1 such as MSOL and DAGAL but this will focus on their properties rather than any formal definitions."
4,Lunch,10/31/18,12:30 PM,2:00 PM,,Main Schedule,
5,Afternoon Tutorials,10/31/18,2:00 PM,5:30 PM,,Main Schedule,
6,"[T3] Writing Code for NLP Research.",10/31/18,14:00,17:30,Gold Hall,Tutorials,"Doing modern NLP research requires writing code. Good code enables fast prototyping, easy debugging, controlled experiments, and accessible visualizations that help researchers understand what a model is doing. Bad code leads to research that is at best hard to reproduce and extend, and at worst simply incorrect. Indeed, there is a growing recognition of the importance of having good tools to assist good research in our field, as the upcoming workshop on open source software for NLP demonstrates. This tutorial aims to share best practices for writing code for NLP research, drawing on the instructors' experience designing the recently-released AllenNLP toolkit, a PyTorch-based library for deep learning NLP research. We will explain how a library with the right abstractions and components enables better code and better science, using models implemented in AllenNLP as examples. Participants will learn how to write research code in a way that facilitates good science and easy experimentation, regardless of what framework they use."
7,"[W1] WMT18: The Third Conference on Machine Translation (Day 1)",10/31/18,all day,,Bozar Hall (Salle M),Main Schedule,"The Third Conference on Machine Translation conference builds on a series of annual workshops and conferences on statistical machine translation, going back to 2006."
8,"[W2] CoNLL: The Conference on Computational Natural Language Learning (Day 1)",10/31/18,all day,,Copper Hall / Studio 311-312,Main Schedule,"The Conference on Computational Natural Language Learning is a top-tier conference, yearly organized by SIGNLL (ACL’s Special Interest Group on Natural Language Learning)."
9,"[W3] LOUHI: The Ninth International Workshop on Health Text Mining and Information Analysis",10/31/18,all day,,The Arc,Main Schedule,"The Ninth International Workshop on Health Text Mining and Information Analysis provides an interdisciplinary forum for researchers interested in automated processing of health documents."
10,"[W4] ALW2: Second Workshop on Abusive Language Online",10/31/18,all day,,Studio 313-315,Main Schedule,"The last few years have seen a surge in abusive online behavior, with governments, social media platforms, and individuals struggling to cope with the consequences and to produce effective methods to combat it. The Second Workshop on Abusive Language Online bring researchers of various disciplines together to discuss approaches to abusive language."
