"Submission ID","Authors",
"16","Manaal Faruqui and Dipanjan Das",
"22","Radu Tudor Ionescu and Andrei M. Butnaru",
"42","Oliver Hellwig and Sebastian Nehrdich",
"43","Ningyu Zhang, Shumin Deng, Zhanling Sun, Xi Chen, Wei Zhang and Huajun Chen",
"53","Jingyuan Li and Xiao Sun",
"54","Arjun Chandrasekaran, Viraj Prabhu, Deshraj Yadav, Prithvijit Chattopadhyay and Devi Parikh",
"58","Tianyi Liu, Xinsong Zhang, Wanhao Zhou and Weijia Jia",
"63","Ian Stewart and Jacob Eisenstein",
"65","Markus Freitag and Scott Roy",
"66","Sweta Karlekar and Mohit Bansal",
"71","Paweł Budzianowski, Tsung-Hsien Wen, Bo-Hsiang Tseng, Iñigo Casanueva, Stefan Ultes, Osman Ramadan and Milica Gasic",
"76","Yixin Cao, Lei Hou, Juanzi Li, Zhiyuan Liu, Chengjiang Li, Xu Chen and Tiansi Dong",
"82","Katharina Kann and Hinrich Schütze",
"94","Minghao Hu, Yuxing Peng, Furu Wei, Zhen Huang, Dongsheng Li, Nan Yang and Ming Zhou",
"102","Rivka Malca and Roi Reichart",
"103","John Lalor, Hao Wu, Tsendsuren Munkhdalai and Hong Yu",
"113","Cheng Wang, Mathias Niepert and Hui Li",
"126","Yftah Ziser and Roi Reichart",
"131","Sathish Reddy Indurthi, Seunghak Yu, Seohyun Back and Heriberto Cuayahuitl",
"136","Chenlin Shen, Changlong Sun, Jingjing Wang, Yangyang Kang, Shoushan Li, Xiaozhong Liu, Luo Si, Min Zhang and Guodong Zhou",
"146","Giannis Bekoulis, Johannes Deleu, Thomas Demeester and Chris Develder",
"152","Weiyi Lu and Thien Huu Nguyen",
"159","Ji Xin, Hao Zhu, Xu Han, Zhiyuan Liu and Maosong Sun",
"171","Dimitri Kartsaklis, Mohammad Taher Pilehvar and Nigel Collier",
"179","Mohammad Taher Pilehvar, Dimitri Kartsaklis, Victor Prokhorov and Nigel Collier",
"183","Lesly Miculicich, Dhananjay Ram, Nikolaos Pappas and James Henderson",
"189","Jonathan Mallinson, Rico Sennrich and Mirella Lapata",
"190","Dinghan Shen, Xinyuan Zhang, Ricardo Henao and Lawrence Carin",
"201","Shaonan Wang, Jiajun Zhang and Chengqing Zong",
"203","Koki Washio and Tsuneaki Kato",
"204","Ke Tran, Arianna Bisazza and Christof Monz",
"205","Marco Ponza, Luciano Del Corro and Gerhard Weikum",
"206","Jingqiang Chen and Hai Zhuge",
"207","Jun Chen, Xiaoming Zhang, Yu Wu, Zhao Yan and Zhoujun Li",
"208","Diane Bouchacourt and Marco Baroni",
"212","Christian Stab, Tristan Miller, Benjamin Schiller, Pranav Rai and Iryna Gurevych",
"213","Tszhang Guo, Shiyu Chang, Mo Yu and Kun Bai",
"217","Tianze Shi and Lillian Lee",
"224","Zhengzhong Liu, Chenyan Xiong, Teruko Mitamura and Eduard Hovy",
"225","Cory Shain and William Schuler",
"227","Spencer Whitehead, Heng Ji, Mohit Bansal, Shih-Fu Chang and Clare Voss",
"228","Binxuan Huang and Kathleen Carley",
"229","Badri Narayana Patro, Sandeep Kumar, Vinod Kumar Kurmi and Vinay Namboodiri",
"232","Di Lu, Spencer Whitehead, Lifu Huang, Heng Ji and Shih-Fu Chang",
"244","Fuli Luo, Tianyu Liu, Zexue He, Qiaolin Xia, Zhifang Sui and Baobao Chang",
"245","Congying Xia, Chenwei Zhang, Xiaohui Yan, Yi Chang and Philip Yu",
"247","Qing Li, Jianlong Fu, Dongfei Yu, Tao Mei and Jiebo Luo",
"256","Steffen Eger, Paul Youssef and Iryna Gurevych",
"264","Daya Guo, Yibo Sun, Duyu Tang, Nan Duan, Jian Yin, Hong Chi, James Cao, Peng Chen and Ming Zhou",
"265","Di Jin and Peter Szolovits",
"270","Lifu Huang, Kyunghyun Cho, Boliang Zhang, Heng Ji and Kevin Knight",
